video_id,channel_title,channel_id,video_publish_date,video_title,video_view_count,video_like_count,video_dislike_count,video_comment_count
PYmtH47kBm4,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-24T22:06:17.000Z,Where is the MSM Outrage Over Missing FBI Text Messages?,5253,195.0,6.0,45.0
HDMX5OQK2XM,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-24T20:38:29.000Z,VIDEO: Man Thrown Out Of Food Court For Wearing CNN Is Fake News Shirt,27992,1353.0,23.0,302.0
1LSa8W8__bI,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-24T17:45:33.000Z,VIDEO: Man Kicked Out of CNN HQ For T-shirt,11590,890.0,9.0,176.0
lOMFB0_-wRI,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-19T22:16:06.000Z,CNN’s Acosta Pushes Cultish Disinfo Over Government Shutdown,7762,268.0,9.0,54.0
XwCKSm98NSo,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-18T20:19:55.000Z,MUST-SEE! Sean Hannity Announces CNN’s New Name: The Sh*thole Network,38208,1594.0,33.0,268.0
-7XciT6GRug,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-17T22:42:45.000Z,MSM Continues Its Lying Spree to the American Public,5410,269.0,11.0,52.0
Phel02Yjrfs,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-17T19:11:54.000Z,VIDEO: Jeff Flake Compares Trump To Stalin For Defending Himself Against MSM Lies,6130,279.0,13.0,118.0
oIsRKHK3MJM,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-16T01:39:37.000Z,Niece Of MLK Calls CNN Fake News,22866,1185.0,39.0,238.0
oIsRKHK3MJM,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-16T01:39:37.000Z,Niece Of MLK Calls CNN Fake News,22866,1185.0,39.0,238.0
SS6g5_npKQg,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-15T19:12:03.000Z,WaPo Tells The Truth: Chinese Government Intelligence Operatives Are Taking Over US Universities,13524,551.0,32.0,141.0
PHfF5JNl_h8,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-15T03:15:42.000Z,MSNBC Admits They Are Fake News,15280,742.0,30.0,128.0
NFkzsyc9eg4,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-12T20:33:16.000Z,MSM Using Shithole-Gate To Manipulate Emotions Just Like The OJ Simpson Lawyers Used The N-Word,10739,384.0,26.0,232.0
G-6dFh2oo24,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-12T18:39:31.000Z,The Clintons Stole $2 Billion From Haiti But Trump Is Bad Because MSM Put Out A Fake Quote,26129,1527.0,30.0,397.0
KsWzMNvz8Mw,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-12T17:31:41.000Z,"Just Like They Used The N-Word In OJ Trial, MSM Airing “Shithole” Uncensored To Manipulate Emotions",13831,452.0,46.0,219.0
2toRrptYvM0,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-09T19:07:33.000Z,MSM Claims Trump Was Booed At National Championship Game When He Received A Standing Ovation,28922,1531.0,37.0,422.0
8hOSo4HDwGk,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-06T23:15:25.000Z,"Alex Jones Challenges CNN's Brian Stelter To Fight For $1,000,000!",84198,4658.0,232.0,1192.0
